country,region,link
Afghanistan,South Asia,https://www.cgdev.org/sites/default/files/SAS_AFG.pdf
Algeria,Middle East and North Africa,https://www.cgdev.org/sites/default/files/MNA_DZA.pdf
American Samoa,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_ASM.pdf
Angola,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_AGO.pdf
Argentina,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_ARG.pdf
Bangladesh,South Asia,https://www.cgdev.org/sites/default/files/SAS_BGD.pdf
Belize,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_BLZ.pdf
Benin,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_BEN.pdf
Bhutan,South Asia,https://www.cgdev.org/sites/default/files/SAS_BTN.pdf
Bolivia,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_BOL.pdf
Botswana,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_BWA.pdf
Brazil,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_BRA.pdf
Burkina Faso,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_BFA.pdf
Burundi,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_BDI.pdf
Cabo Verde,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_CPV.pdf
Cambodia,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_KHM.pdf
Cameroon,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_CMR.pdf
Central African Republic,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_CAF.pdf
Chad,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_TCD.pdf
China,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_CHN.pdf
Colombia,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_COL.pdf
Comoros,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_COM.pdf
"Congo, Dem Rep",Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_COD.pdf
"Congo, Rep",Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_COG.pdf
Costa Rica,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_CRI.pdf
Cote d'Ivoire,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_CIV.pdf
Cuba,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_CUB.pdf
Djibouti,Middle East and North Africa,https://www.cgdev.org/sites/default/files/MNA_DJI.pdf
Dominica,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_DMA.pdf
Dominican Republic,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_DOM.pdf
Ecuador,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_ECU.pdf
"Egypt, Arab Rep",Middle East and North Africa,https://www.cgdev.org/sites/default/files/MNA_EGY.pdf
El Salvador,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_SLV.pdf
