"","value","date"
"1",689974,"1/1/2005"
"2",769574,"1/1/2011"
"3",486272,"1/10/2004"
"4",758267,"1/10/2009"
"5",379991,"1/10/2015"
"6",537926,"1/11/2003"
"7",412869,"1/11/2014"
"8",277800,"1/11/2020"
"9",553000,"1/12/2002"
"10",410675,"1/12/2008"
"11",432226,"1/12/2013"
"12",266552,"1/12/2019"
"13",392588,"1/13/2001"
"14",362439,"1/13/2007"
"15",257333,"1/13/2018"
"16",314233,"1/14/2006"
"17",412727,"1/14/2012"
"18",281260,"1/14/2017"
"19",323738,"1/15/2000"
"20",356641,"1/15/2005"
"21",481469,"1/15/2011"
"22",500995,"1/16/2010"
"23",293402,"1/16/2016"
"24",378372,"1/17/2004"
"25",614306,"1/17/2009"
"26",279339,"1/17/2015"
"27",430425,"1/18/2003"
"28",355154,"1/18/2014"
"29",225439,"1/18/2020"
"30",426589,"1/19/2002"
"31",365689,"1/19/2008"
"32",365055,"1/19/2013"
"33",248471,"1/19/2019"
"34",821552,"1/2/2010"
"35",500790,"1/2/2016"
"36",438446,"1/20/2001"
"37",355691,"1/20/2007"
"38",264775,"1/20/2018"
"39",314674,"1/21/2006"
"40",418416,"1/21/2012"
"41",278432,"1/21/2017"
"42",327860,"1/22/2000"
"43",359737,"1/22/2005"
"44",459470,"1/22/2011"
"45",532798,"1/23/2010"
"46",309638,"1/23/2016"
"47",402361,"1/24/2004"
"48",675542,"1/24/2009"
"49",303771,"1/24/2015"
"50",444332,"1/25/2003"
"51",354775,"1/25/2014"
"52",221971,"1/25/2020"
"53",440326,"1/26/2002"
"54",376337,"1/26/2008"
"55",383966,"1/26/2013"
"56",252457,"1/26/2019"
"57",416730,"1/27/2001"
"58",335334,"1/27/2007"
"59",240083,"1/27/2018"
"60",317726,"1/28/2006"
"61",397053,"1/28/2012"
"62",257200,"1/28/2017"
"63",360093,"1/29/2000"
"64",342978,"1/29/2005"
"65",435023,"1/29/2011"
"66",674487,"1/3/2004"
"67",952201,"1/3/2009"
"68",526816,"1/3/2015"
"69",506458,"1/30/2010"
"70",288340,"1/30/2016"
"71",429037,"1/31/2004"
"72",703452,"1/31/2009"
"73",321648,"1/31/2015"
"74",719438,"1/4/2003"
"75",531109,"1/4/2014"
"76",336232,"1/4/2020"
"77",794196,"1/5/2002"
"78",542613,"1/5/2008"
"79",552368,"1/5/2013"
"80",339740,"1/5/2019"
"81",593572,"1/6/2001"
"82",501034,"1/6/2007"
"83",350308,"1/6/2018"
"84",435572,"1/7/2006"
"85",522482,"1/7/2012"
"86",349750,"1/7/2017"
"87",437137,"1/8/2000"
"88",463124,"1/8/2005"
"89",546193,"1/8/2011"
"90",654578,"1/9/2010"
"91",374925,"1/9/2016"
"92",375574,"10/1/2005"
"93",401628,"10/1/2011"
"94",235443,"10/1/2016"
"95",460087,"10/10/2009"
"96",230847,"10/10/2015"
"97",325467,"10/11/2003"
"98",412790,"10/11/2008"
"99",253746,"10/11/2014"
"100",345903,"10/12/2002"
"101",308652,"10/12/2013"
"102",185314,"10/12/2019"
"103",423421,"10/13/2001"
"104",304015,"10/13/2007"
"105",341493,"10/13/2012"
"106",196558,"10/13/2018"
"107",259286,"10/14/2000"
"108",287357,"10/14/2006"
"109",211509,"10/14/2017"
"110",300919,"10/15/2005"
"111",373185,"10/15/2011"
"112",235115,"10/15/2016"
"113",314242,"10/16/2004"
"114",404279,"10/16/2010"
"115",495959,"10/17/2009"
"116",242901,"10/17/2015"
"117",349019,"10/18/2003"
"118",445523,"10/18/2008"
"119",268604,"10/18/2014"
"120",371653,"10/19/2002"
"121",321240,"10/19/2013"
"122",197138,"10/19/2019"
"123",334191,"10/2/2004"
"124",458277,"10/2/2010"
"125",431642,"10/20/2001"
"126",300138,"10/20/2007"
"127",336269,"10/20/2012"
"128",196720,"10/20/2018"
"129",265294,"10/21/2000"
"130",297948,"10/21/2006"
"131",209116,"10/21/2017"
"132",291312,"10/22/2005"
"133",365479,"10/22/2011"
"134",243678,"10/22/2016"
"135",302264,"10/23/2004"
"136",416885,"10/23/2010"
"137",483239,"10/24/2009"
"138",256327,"10/24/2015"
"139",342195,"10/25/2003"
"140",462280,"10/25/2008"
"141",264532,"10/25/2014"
"142",393688,"10/26/2002"
"143",328734,"10/26/2013"
"144",204001,"10/26/2019"
"145",439205,"10/27/2001"
"146",322912,"10/27/2007"
"147",358826,"10/27/2012"
"148",213018,"10/27/2018"
"149",338535,"10/28/2000"
"150",323520,"10/28/2006"
"151",233148,"10/28/2017"
"152",337029,"10/29/2005"
"153",398887,"10/29/2011"
"154",256432,"10/29/2016"
"155",509430,"10/3/2009"
"156",253331,"10/3/2015"
"157",348841,"10/30/2004"
"158",448441,"10/30/2010"
"159",532685,"10/31/2009"
"160",288820,"10/31/2015"
"161",364660,"10/4/2003"
"162",449259,"10/4/2008"
"163",270960,"10/4/2014"
"164",380822,"10/5/2002"
"165",356825,"10/5/2013"
"166",199694,"10/5/2019"
"167",421558,"10/6/2001"
"168",302476,"10/6/2007"
"169",358918,"10/6/2012"
"170",188222,"10/6/2018"
"171",249752,"10/7/2000"
"172",268885,"10/7/2006"
"173",202584,"10/7/2017"
"174",299551,"10/8/2005"
