countrycode,income,scenario,lp
Australia,HIC,Baseline,11.23
Brunei Darussalam,HIC,Baseline,9.23
Cambodia,LMC,Baseline,6.85
China,UMC,Baseline,9.27
Fiji,UMC,Baseline,6.94
"Hong Kong SAR, China",HIC,Baseline,11.89
Indonesia,UMC,Baseline,7.83
Japan,HIC,Baseline,11.74
Kiribati,LMC,Baseline,7.37
"Korea, Rep.",HIC,Baseline,11.68
Lao PDR,LMC,Baseline,6.25
"Macao SAR, China",HIC,Baseline,11.58
Malaysia,UMC,Baseline,8.9
Marshall Islands,UMC,Baseline,5.66
"Micronesia, Fed. Sts.",LMC,Baseline,7.19
Mongolia,LMC,Baseline,9.16
Myanmar,LMC,Baseline,6.79
Nauru,UMC,Baseline,6.52
New Zealand,HIC,Baseline,11.4
Palau,HIC,Baseline,8.69
Papua New Guinea,LMC,Baseline,5.99
Philippines,LMC,Baseline,7.5
Samoa,UMC,Baseline,7.25
Singapore,HIC,Baseline,12.81
Solomon Islands,LMC,Baseline,4.68
Thailand,UMC,Baseline,8.69
Timor-Leste,LMC,Baseline,6.29
Tonga,UMC,Baseline,7.14
Tuvalu,UMC,Baseline,5.99
Vanuatu,LMC,Baseline,5.63
Vietnam,LMC,Baseline,10.68
Albania,UMC,Baseline,8.95
Armenia,UMC,Baseline,8
Austria,HIC,Baseline,10.92
Azerbaijan,UMC,Baseline,8.28
Belarus,UMC,Baseline,10.78
Belgium,HIC,Baseline,11.18
Bosnia and Herzegovina,UMC,Baseline,7.8
Bulgaria,UMC,Baseline,8.69
Croatia,HIC,Baseline,10.45
Cyprus,HIC,Baseline,10.92
Czech Republic,HIC,Baseline,11.11
Denmark,HIC,Baseline,11.1
Estonia,HIC,Baseline,11.71
Finland,HIC,Baseline,11.75
France,HIC,Baseline,11.26
Georgia,UMC,Baseline,8.28
Germany,HIC,Baseline,11.03
Greece,HIC,Baseline,9.97
Hungary,HIC,Baseline,10.26
Iceland,HIC,Baseline,10.72
Ireland,HIC,Baseline,11.59
Italy,HIC,Baseline,10.45
Kazakhstan,UMC,Baseline,9.13
Kosovo,UMC,Baseline,7.88
Kyrgyz Republic,LMC,Baseline,8.65
Latvia,HIC,Baseline,10.98
Lithuania,HIC,Baseline,10.98
Luxembourg,HIC,Baseline,9.8
Moldova,LMC,Baseline,8.3
Montenegro,UMC,Baseline,8.91
Netherlands,HIC,Baseline,11.55
North Macedonia,UMC,Baseline,7.31
Norway,HIC,Baseline,11.24
Poland,HIC,Baseline,11.37
Portugal,HIC,Baseline,11.32
Romania,UMC,Baseline,8.37
Russian Federation,UMC,Baseline,10.91
Serbia,UMC,Baseline,9.74
Slovak Republic,HIC,Baseline,9.79
Slovenia,HIC,Baseline,11.38
Spain,HIC,Baseline,10.52
Sweden,HIC,Baseline,11.58
Switzerland,HIC,Baseline,10.93
Tajikistan,LIC,Baseline,6.79
Turkey,UMC,Baseline,9.23
Ukraine,LMC,Baseline,9.87
United Kingdom,HIC,Baseline,11.53
Uzbekistan,LMC,Baseline,9.13
Antigua and Barbuda,HIC,Baseline,8.45
Argentina,UMC,Baseline,8.41
Brazil,UMC,Baseline,7.87
Chile,HIC,Baseline,9.4
Colombia,UMC,Baseline,8.62
Costa Rica,UMC,Baseline,9.01
Dominica,UMC,Baseline,8.02
Dominican Republic,UMC,Baseline,6.55
Ecuador,UMC,Baseline,8.7
El Salvador,LMC,Baseline,7.64
Grenada,UMC,Baseline,8.28
Guatemala,UMC,Baseline,6.29
Guyana,UMC,Baseline,6.75
Haiti,LIC,Baseline,6.15
Honduras,LMC,Baseline,6.14
Jamaica,UMC,Baseline,7.05
Mexico,UMC,Baseline,8.82
Nicaragua,LMC,Baseline,6.75
Panama,HIC,Baseline,6.48
Paraguay,UMC,Baseline,6.99
Peru,UMC,Baseline,8.63
St. Kitts and Nevis,HIC,Baseline,8.47
St. Lucia,UMC,Baseline,8.49
St. Vincent and the Grenadines,UMC,Baseline,7.7
